cityName,comment,confirmedCount,confirmedCountRank,confirmedIncr,continents,countryFullName,countryShortCode,countryType,createTime,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,deadCount,deadCountRank,deadIncr,deadRate,deadRateRank,id,incrVo,locationId,modifyTime,operator,provinceId,provinceName,provinceShortName,showRank,sort,statisticsData,suspectedCount,tags
,,29,,0,北美洲,Saint Vincent and the Grenadines,VCT,2,2020-07-10 00:09:29,0,0,29,0,0,,0,0.00,,4370754.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",974012,2020-07-10 00:09:29,yehao,10,圣文森特和格林纳丁斯,,False,0.0,https://file1.dxycdn.com/2020/0315/434/3402160510660391899-135.json,0,
,,30,,0,北美洲,Belize,BLZ,2,2020-07-10 00:09:30,0,0,28,0,2,,0,6.66,,4370864.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",972001,2020-07-10 00:09:30,yehao,10,伯利兹,,False,0.0,https://file1.dxycdn.com/2020/0324/768/3403794290450024936-135.json,0,
,,25,,0,北美洲,Curaçao,CW,2,2020-07-10 00:09:30,0,0,24,0,1,,0,4.00,,4370781.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",0,2020-07-10 00:09:30,yehao,10,库拉索岛,,False,0.0,https://file1.dxycdn.com/2020/0317/893/3402535572974445672-135.json,0,
,,24,,0,亚洲,Tinor-Leste,TLS,2,2020-07-10 00:09:30,0,0,24,0,0,,0,0.00,,4370848.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",952004,2020-07-10 00:09:30,yehao,10,东帝汶,,False,0.0,https://file1.dxycdn.com/2020/0322/192/3403423200980673679-135.json,0,
,,23,,0,北美洲,Grenada,GRD,2,2020-07-10 00:09:30,0,0,23,0,0,,0,0.00,,4370865.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",0,2020-07-10 00:09:30,yehao,10,格林那达,,False,0.0,https://file1.dxycdn.com/2020/0324/601/3403794292597755143-135.json,0,
,,22,,0,北美洲,Saint Lucia,LCA,2,2020-07-10 00:09:30,0,0,22,0,0,,0,0.00,,4370779.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",974011,2020-07-10 00:09:30,yehao,10,圣卢西亚,,False,0.0,https://file1.dxycdn.com/2020/0317/755/3402535592301799597-135.json,0,
,,21,,0,大洋洲,The Republic of Fiji,FJI,2,2020-07-10 00:09:30,0,0,21,0,0,,0,0.00,,4370817.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",990002,2020-07-10 00:09:30,yehao,10,斐济,,False,0.0,https://file1.dxycdn.com/2020/0320/440/3403052105069099849-135.json,0,
,,21,,0,大洋洲,New Caledonia,NCL,2,2020-07-10 00:09:30,0,0,21,0,0,,0,0.00,,4370846.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",0,2020-07-10 00:09:30,yehao,10,新喀里多尼亚,,False,0.0,https://file1.dxycdn.com/2020/0321/445/3403237656246202288-135.json,0,
,,141,176.0,0,亚洲,Cambodia,KHM,2,2020-07-10 00:09:29,122,0,19,0,0,175.0,0,0.00,175.0,4370260.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",952003,2020-07-10 00:09:29,yehao,10,柬埔寨,,True,0.0,https://file1.dxycdn.com/2020/0315/664/3402160527840261727-135.json,0,
,,19,,0,亚洲,Laos,LAO,2,2020-07-10 00:09:30,0,0,19,0,0,,0,0.00,,4370867.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",952006,2020-07-10 00:09:30,yehao,10,老挝,,False,0.0,https://file1.dxycdn.com/2020/0325/227/3403979839479981624-135.json,0,
